order_item_id,order_id,product_id,quantity,discount_amount
1,666,49,1,17.44
2,666,77,3,17.2
3,666,28,2,5.14
4,2866,29,2,5.64
5,2866,17,2,1.87
6,2866,4,3,8.4
7,2866,10,2,0.52
8,1514,56,1,12.51
9,1514,40,3,2.92
10,2043,49,2,18.88
11,2043,57,1,13.52
12,766,4,3,4.77
13,766,58,1,7.36
14,766,37,1,6.91
15,501,31,2,10.44
16,62,78,3,18.29
17,2598,60,2,2.15
18,2598,24,1,8.15
19,1123,27,3,13.57
20,744,80,2,9.82
21,744,18,2,12.24
22,744,35,1,3.25
23,744,58,1,3.42
24,3044,55,2,3.2
25,3044,2,2,19.95
26,965,10,2,9.91
27,965,47,3,0.72
28,965,37,2,2.0
29,965,50,2,19.68
30,972,61,1,14.92
31,3306,63,2,15.08
32,3306,39,2,9.28
33,3306,10,1,10.4
34,3306,51,1,9.73
35,118,12,2,4.91
36,3141,22,1,9.98
37,3141,38,1,19.25
38,3141,60,2,7.05
39,1495,3,3,12.52
40,281,75,2,4.91
41,281,19,3,18.91
42,281,62,2,2.7
43,281,35,1,0.13
44,174,60,3,19.86
45,174,79,1,3.24
46,174,63,1,6.56
47,174,79,1,13.75
48,2390,31,1,16.52
49,2390,73,3,15.5
50,827,63,1,1.32
51,827,32,2,11.94
52,827,64,3,2.32
53,827,73,1,7.21
54,1749,18,3,15.75
55,1749,53,3,5.91
56,2322,40,2,5.06
57,2322,3,3,11.88
58,2322,30,2,7.29
59,2322,38,2,16.57
60,2769,19,1,6.86
61,2769,47,3,15.56
62,2769,26,3,4.19
63,3310,44,1,7.84
64,3310,73,2,19.7
65,686,35,1,14.11
66,686,18,3,3.02
67,638,58,1,17.06
68,3451,40,3,17.45
69,3451,21,1,15.14
70,3742,74,1,12.02
71,3742,50,1,17.12
72,3742,4,1,6.27
73,3742,4,3,18.99
74,2072,19,3,9.53
75,2072,5,1,9.76
76,2072,16,1,17.45
77,2072,6,2,8.09
78,2749,7,3,17.32
79,3822,65,3,1.65
80,3822,18,1,7.85
81,1487,9,3,13.05
82,1487,75,2,15.76
83,1487,8,3,4.9
84,1487,30,3,0.27
85,2631,63,2,16.88
86,2631,45,3,6.85
87,2631,74,2,4.54
88,1729,45,1,11.43
89,1729,21,3,18.82
90,1729,14,2,6.74
91,3436,76,3,1.91
92,3436,11,3,5.65
93,3436,35,1,13.56
94,3436,78,2,10.6
95,514,42,3,1.03
96,514,5,3,12.48
97,1345,35,1,7.57
98,1345,2,2,13.13
99,1345,13,3,8.41
100,351,44,1,6.24
101,351,47,1,0.08
102,351,5,2,4.0
103,351,67,3,11.54
104,3692,1,2,16.67
105,3692,79,3,0.45
106,3692,6,3,10.14
107,2885,28,3,13.72
108,2885,59,1,19.66
109,2885,25,1,12.12
110,507,63,1,5.59
111,507,13,2,12.61
112,507,46,2,15.26
113,402,22,2,16.33
114,2959,75,3,15.42
115,2959,17,3,1.68
116,2959,8,3,19.37
117,2370,46,3,19.98
118,2370,18,1,6.71
119,2370,14,1,9.29
120,1277,29,2,9.82
121,1341,75,1,10.29
122,1341,39,3,16.36
123,196,20,1,0.26
124,196,29,2,16.9
125,196,21,2,4.22
126,196,14,3,13.39
127,3693,46,3,15.68
128,3693,70,3,13.3
129,2269,51,2,10.5
130,2269,53,2,14.19
131,2269,25,2,9.8
132,1481,11,2,12.92
133,1481,57,2,7.13
134,1481,28,1,19.24
135,1362,40,3,11.22
136,3045,33,2,10.55
137,3045,59,2,1.1
138,3045,79,2,11.37
139,3045,3,2,12.09
140,3392,77,3,2.76
141,987,36,1,16.68
142,2379,22,2,4.12
143,2379,61,2,9.09
144,2379,75,3,11.11
145,1752,23,2,10.35
146,1752,61,2,11.26
147,1752,15,1,14.11
148,1752,76,2,14.22
149,895,32,1,10.85
150,895,55,2,4.95
151,1359,28,1,5.01
152,1359,76,2,13.35
153,2751,8,2,2.75
154,2751,48,1,3.58
155,2751,62,2,19.47
156,2751,31,3,0.51
157,3441,22,1,19.51
158,3953,17,1,4.03
159,231,50,3,4.52
160,231,45,2,1.94
161,231,54,1,1.65
162,231,2,3,19.5
163,2596,58,2,15.09
164,2596,51,1,14.39
165,1249,78,2,19.98
166,1249,29,1,14.97
167,1249,52,3,12.86
168,1249,21,1,19.13
169,287,62,3,7.93
170,287,35,3,17.7
171,287,34,2,1.64
172,2204,13,3,2.16
173,41,62,3,4.24
174,2705,56,3,12.62
175,2705,51,1,11.59
176,824,69,2,11.41
177,3243,15,2,1.46
178,3243,58,1,8.73
179,3243,48,1,16.15
180,2762,38,1,18.66
181,2762,66,3,7.21
182,2434,25,3,18.33
183,2434,11,3,0.64
184,3344,66,2,1.72
185,3344,75,2,10.18
186,3344,3,1,16.32
187,2415,21,2,12.78
188,2443,40,3,9.88
189,2443,7,3,7.1
190,2443,37,3,4.72
191,3943,57,1,19.72
192,3307,70,3,8.84
193,2660,42,1,5.5
194,2660,48,1,13.97
195,2094,35,2,2.95
196,2094,77,3,2.3
197,2094,14,2,2.06
198,2256,12,1,7.27
199,2256,2,1,10.43
200,2256,52,2,13.5
201,1518,18,1,1.15
202,1518,37,2,13.06
203,1518,80,2,4.92
204,678,65,1,12.65
205,678,7,2,13.09
206,678,10,2,14.36
207,653,60,1,11.1
208,653,49,1,13.65
209,3695,10,2,14.26
210,3695,6,1,4.49
211,2566,42,3,16.19
212,2032,69,1,10.56
213,2032,27,3,2.74
214,2397,61,3,1.95
215,2397,9,3,12.75
216,2397,76,2,9.69
217,2397,19,1,6.92
218,2833,59,2,10.59
219,2833,44,3,13.81
220,2833,16,3,3.66
221,1370,46,3,10.14
222,1370,13,2,19.63
223,3133,30,2,13.9
224,2878,71,2,4.69
225,2878,24,1,8.76
226,2878,12,1,1.42
227,2878,12,2,14.49
228,3478,14,3,18.99
229,467,72,3,15.69
230,467,12,3,4.49
231,467,2,2,18.99
232,3966,53,3,19.37
233,3966,64,3,6.43
234,1935,27,2,0.49
235,1346,46,3,12.21
236,1346,65,3,14.48
237,1346,24,1,17.9
238,1346,12,3,17.27
239,3951,62,2,8.57
240,2755,41,1,9.15
241,129,4,3,16.02
242,2520,14,2,17.14
243,2520,54,2,8.51
244,144,37,1,18.62
245,144,44,2,7.22
246,144,29,3,5.28
247,144,33,3,1.52
