order_id,customer_id,order_date,campaign_id,status
666,433,2025-01-01,3,completed
2866,322,2025-01-01,4,cancelled
1514,135,2025-01-01,3,completed
2043,85,2025-01-01,4,completed
766,186,2025-01-01,1,completed
501,93,2025-01-01,3,completed
62,72,2025-01-01,3,completed
2598,34,2025-01-01,4,completed
1123,24,2025-01-01,3,completed
744,412,2025-01-01,3,cancelled
3044,380,2025-01-01,4,cancelled
965,150,2025-01-02,2,completed
972,139,2025-01-02,3,cancelled
3306,444,2025-01-02,2,completed
118,110,2025-01-02,3,cancelled
3141,83,2025-01-02,3,cancelled
1495,162,2025-01-02,2,cancelled
281,222,2025-01-02,4,cancelled
174,301,2025-01-02,1,completed
2390,177,2025-01-02,3,completed
827,415,2025-01-02,4,completed
1749,208,2025-01-03,4,completed
2322,211,2025-01-03,4,completed
2769,359,2025-01-03,4,completed
3310,378,2025-01-03,3,completed
686,92,2025-01-03,1,completed
638,469,2025-01-03,4,completed
3451,186,2025-01-03,4,completed
3742,396,2025-01-03,1,cancelled
2072,429,2025-01-03,1,cancelled
2749,466,2025-01-03,2,cancelled
3822,395,2025-01-03,1,completed
1487,55,2025-01-03,3,cancelled
2631,96,2025-01-03,3,completed
1729,295,2025-01-04,3,completed
3436,136,2025-01-04,3,completed
514,326,2025-01-04,2,completed
1345,377,2025-01-04,2,cancelled
351,36,2025-01-04,4,completed
3692,272,2025-01-04,3,completed
2885,58,2025-01-04,1,cancelled
507,113,2025-01-05,3,completed
402,249,2025-01-05,1,completed
2959,285,2025-01-05,1,completed
2370,219,2025-01-05,3,cancelled
1277,85,2025-01-05,2,completed
1341,441,2025-01-05,4,completed
196,283,2025-01-05,1,completed
3693,170,2025-01-05,1,cancelled
2269,133,2025-01-06,2,completed
1481,320,2025-01-06,2,cancelled
1362,306,2025-01-06,2,completed
3045,496,2025-01-06,3,completed
3392,280,2025-01-06,1,completed
987,290,2025-01-06,4,completed
2379,317,2025-01-06,1,completed
1752,377,2025-01-06,2,completed
895,356,2025-01-06,4,completed
1359,143,2025-01-06,3,completed
2751,325,2025-01-06,1,completed
3441,96,2025-01-06,3,completed
3953,133,2025-01-06,3,cancelled
231,447,2025-01-06,3,completed
2596,264,2025-01-06,1,cancelled
1249,222,2025-01-06,2,completed
287,235,2025-01-06,4,completed
2204,227,2025-01-06,1,cancelled
41,382,2025-01-06,3,completed
2705,18,2025-01-07,4,cancelled
824,64,2025-01-07,4,completed
3243,151,2025-01-07,1,completed
2762,17,2025-01-07,4,completed
2434,435,2025-01-07,2,cancelled
3344,38,2025-01-07,2,cancelled
2415,62,2025-01-07,3,completed
2443,349,2025-01-07,4,completed
3943,85,2025-01-07,3,completed
3307,78,2025-01-07,4,completed
2660,293,2025-01-08,4,cancelled
2094,447,2025-01-08,3,completed
2256,314,2025-01-08,4,completed
1518,274,2025-01-08,3,cancelled
678,473,2025-01-08,1,completed
653,183,2025-01-08,1,cancelled
3695,419,2025-01-08,4,completed
2566,377,2025-01-08,1,completed
2032,266,2025-01-08,1,completed
2397,413,2025-01-08,4,completed
2833,88,2025-01-08,2,cancelled
1370,338,2025-01-08,3,completed
3133,181,2025-01-09,1,completed
2878,232,2025-01-09,4,completed
3478,374,2025-01-09,1,completed
467,354,2025-01-09,3,completed
3966,480,2025-01-09,3,completed
1935,201,2025-01-09,1,completed
1346,109,2025-01-09,1,completed
3951,451,2025-01-09,1,cancelled
2755,322,2025-01-09,2,completed
